id,scores
0,1000
1,1000
2,755
3,1000
4,77
5,1000
6,1000
7,1000
8,1000
9,1000
10,1000
11,903
12,1000
13,601
14,549
15,1000
16,1000
17,1000
18,520
19,1000
20,149
21,1000
22,1000
23,1000
24,262
25,965
26,1000
27,1000
28,676
29,1000
30,1000
31,825
32,1000
33,1000
34,852
35,1000
36,549
37,662
38,1000
39,662
40,1000
41,585
42,1000
43,1000
44,1000
45,1000
46,303
47,1000
48,303
49,472
50,1000
51,360
52,1000
53,1000
54,71
55,1000
56,1000
57,1000
58,1000
59,698
60,216
61,1000
62,1000
63,1000
64,1000
65,113
66,303
67,1000
68,529
69,472
70,488
71,1000
72,257
73,1000
74,1000
75,149
76,1000
77,1000
78,1000
79,1000
80,1000
81,324
82,549
83,1000
84,1000
85,1000
86,359
87,1000
88,865
89,791
90,400
91,1000
92,330
93,97
94,1000
95,1000
96,261
97,698
98,863
99,1000
