id,scores
0,210
1,103
2,187
3,323
4,210
5,148
6,225
7,148
8,359
9,97
10,97
11,77
12,225
13,222
14,71
15,359
16,246
17,146
18,110
19,97
20,375
21,256
22,287
23,133
24,549
25,174
26,133
27,246
28,174
29,110
30,186
31,74
32,97
33,600
34,76
35,97
36,287
37,256
38,61
39,61
40,133
41,97
42,246
43,296
44,221
45,483
46,484
47,105
48,147
49,75
50,97
51,400
52,259
53,359
54,97
55,323
56,97
57,210
58,149
59,97
60,61
61,61
62,222
63,110
64,174
65,144
66,359
67,97
68,133
69,61
70,246
71,287
72,61
73,133
74,246
75,210
76,144
77,145
78,97
79,145
80,110
81,61
82,210
83,74
84,261
85,436
86,742
87,149
88,210
89,97
90,61
91,76
92,61
93,61
94,287
95,210
96,61
97,133
98,210
99,61
