id,scores
0,1000
1,472
2,1000
3,1000
4,1000
5,1000
6,97
7,662
8,1000
9,601
10,1000
11,1000
12,361
13,1000
14,445
15,372
16,1000
17,1000
18,1000
19,1000
20,585
21,133
22,1000
23,1000
24,1000
25,1000
26,1000
27,707
28,1000
29,1000
30,1000
31,1000
32,1000
33,249
34,626
35,1000
36,1000
37,1000
38,1000
39,1000
40,1000
41,1000
42,1000
43,1000
44,1000
45,1000
46,1000
47,1000
48,1000
49,1000
50,1000
51,1000
52,1000
53,1000
54,1000
55,1000
56,1000
57,1000
58,473
59,698
60,451
61,1000
62,1000
63,323
64,1000
65,1000
66,662
67,97
68,375
69,472
70,1000
71,1000
72,1000
73,1000
74,1000
75,1000
76,1000
77,1000
78,814
79,513
80,1000
81,1000
82,1000
83,707
84,1000
85,1000
86,1000
87,516
88,1000
89,596
90,1000
91,1000
92,1000
93,1000
94,323
95,698
96,1000
97,1000
98,1000
99,1000
