id,scores
0,76
1,1000
2,1000
3,76
4,1000
5,981
6,1000
7,642
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,677
15,1000
16,1000
17,1000
18,1000
19,369
20,487
21,1000
22,1000
23,1000
24,404
25,754
26,363
27,864
28,1000
29,1000
30,1000
31,1000
32,1000
33,1000
34,1000
35,755
36,565
37,1000
38,77
39,76
40,1000
41,149
42,1000
43,1000
44,143
45,1000
46,1000
47,1000
48,1000
49,523
50,642
51,452
52,1000
53,1000
54,1000
55,1000
56,791
57,903
58,1000
59,926
60,1000
61,1000
62,1000
63,1000
64,1000
65,1000
66,1000
67,1000
68,678
69,867
70,1000
71,1000
72,216
73,190
74,565
75,888
76,1000
77,1000
78,64
79,416
80,790
81,601
82,1000
83,190
84,1000
85,1000
86,1000
87,1000
88,1000
89,1000
90,563
91,225
92,1000
93,451
94,1000
95,791
96,1000
97,1000
98,1000
99,1000
