id,scores
0,1000
1,472
2,1000
3,1000
4,1000
5,1000
6,1000
7,1000
8,642
9,1000
10,1000
11,1000
12,1000
13,698
14,1000
15,330
16,1000
17,1000
18,592
19,1000
20,1000
21,1000
22,549
23,1000
24,1000
25,1000
26,1000
27,1000
28,1000
29,1000
30,1000
31,1000
32,904
33,1000
34,1000
35,111
36,1000
37,739
38,61
39,1000
40,888
41,1000
42,817
43,1000
44,1000
45,1000
46,1000
47,662
48,705
49,1000
50,1000
51,1000
52,478
53,372
54,593
55,626
56,1000
57,1000
58,1000
59,698
60,903
61,1000
62,1000
63,662
64,662
65,755
66,638
67,97
68,1000
69,472
70,1000
71,1000
72,1000
73,1000
74,1000
75,1000
76,1000
77,1000
78,1000
79,1000
80,1000
81,1000
82,210
83,1000
84,1000
85,1000
86,1000
87,1000
88,210
89,1000
90,219
91,472
92,472
93,1000
94,1000
95,190
96,1000
97,549
98,1000
99,1000
