id,scores
0,1000
1,1000
2,1000
3,626
4,1000
5,1000
6,1000
7,1000
8,1000
9,965
10,97
11,1000
12,698
13,1000
14,528
15,180
16,754
17,219
18,1000
19,1000
20,1000
21,1000
22,675
23,585
24,1000
25,1000
26,1000
27,1000
28,1000
29,673
30,1000
31,826
32,1000
33,1000
34,323
35,1000
36,1000
37,359
38,1000
39,662
40,698
41,302
42,1000
43,1000
44,714
45,1000
46,1000
47,1000
48,1000
49,1000
50,1000
51,1000
52,97
53,1000
54,1000
55,755
56,1000
57,1000
58,1000
59,513
60,1000
61,452
62,359
63,1000
64,662
65,755
66,252
67,97
68,1000
69,472
70,1000
71,436
72,174
73,1000
74,1000
75,400
76,1000
77,1000
78,225
79,1000
80,1000
81,71
82,210
83,1000
84,903
85,225
86,678
87,1000
88,323
89,1000
90,400
91,226
92,61
93,1000
94,1000
95,777
96,1000
97,549
98,1000
99,210
