id,scores
0,77
1,302
2,136
3,77
4,133
5,359
6,74
7,253
8,359
9,108
10,436
11,183
12,61
13,111
14,65
15,61
16,148
17,146
18,210
19,76
20,133
21,61
22,76
23,61
24,210
25,133
26,400
27,97
28,188
29,190
30,175
31,97
32,133
33,133
34,174
35,296
36,487
37,68
38,107
39,106
40,182
41,76
42,145
43,71
44,74
45,133
46,246
47,102
48,339
49,51
50,225
51,174
52,134
53,246
54,111
55,287
56,133
57,61
58,103
59,400
60,411
61,174
62,133
63,97
64,97
65,74
66,97
67,97
68,146
69,97
70,246
71,210
72,74
73,112
74,111
75,223
76,513
77,147
78,148
79,436
80,416
81,110
82,174
83,97
84,246
85,76
86,145
87,133
88,246
89,97
90,174
91,111
92,97
93,97
94,287
95,70
96,133
97,75
98,113
99,189
