id,scores
0,110
1,1000
2,940
3,1000
4,298
5,258
6,411
7,301
8,369
9,965
10,485
11,1000
12,258
13,449
14,1000
15,549
16,1000
17,698
18,900
19,472
20,585
21,1000
22,700
23,1000
24,596
25,211
26,1000
27,1000
28,336
29,224
30,1000
31,676
32,1000
33,72
34,1000
35,61
36,549
37,400
38,1000
39,61
40,133
41,600
42,1000
43,174
44,1000
45,1000
46,1000
47,708
48,1000
49,485
50,864
51,587
52,1000
53,323
54,133
55,1000
56,1000
57,937
58,1000
59,336
60,1000
61,298
62,222
63,113
64,561
65,370
66,483
67,1000
68,110
69,323
70,97
71,1000
72,299
73,639
74,256
75,549
76,596
77,628
78,1000
79,1000
80,777
81,186
82,587
83,109
84,1000
85,246
86,64
87,924
88,185
89,323
90,1000
91,133
92,1000
93,1000
94,323
95,821
96,401
97,1000
98,593
99,210
