id,scores
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,924
7,1000
8,1000
9,1000
10,1000
11,1000
12,1000
13,1000
14,1000
15,222
16,1000
17,1000
18,1000
19,860
20,1000
21,1000
22,1000
23,1000
24,752
25,930
26,1000
27,372
28,1000
29,557
30,895
31,1000
32,1000
33,1000
34,105
35,557
36,529
37,1000
38,1000
39,1000
40,1000
41,143
42,1000
43,1000
44,784
45,368
46,1000
47,1000
48,68
49,1000
50,1000
51,1000
52,1000
53,1000
54,106
55,1000
56,549
57,1000
58,295
59,596
60,1000
61,1000
62,1000
63,557
64,1000
65,1000
66,181
67,213
68,1000
69,1000
70,1000
71,331
72,1000
73,1000
74,1000
75,1000
76,820
77,1000
78,1000
79,331
80,638
81,1000
82,1000
83,1000
84,859
85,1000
86,1000
87,1000
88,68
89,1000
90,400
91,260
92,1000
93,1000
94,1000
95,973
96,1000
97,138
98,1000
99,1000
