id,scores
0,1000
1,1000
2,1000
3,1000
4,1000
5,1000
6,669
7,1000
8,210
9,1000
10,295
11,858
12,1000
13,1000
14,1000
15,1000
16,1000
17,1000
18,1000
19,1000
20,447
21,1000
22,210
23,294
24,1000
25,1000
26,1000
27,1000
28,1000
29,1000
30,927
31,1000
32,1000
33,1000
34,303
35,1000
36,1000
37,1000
38,1000
39,590
40,1000
41,1000
42,1000
43,1000
44,1000
45,1000
46,1000
47,1000
48,1000
49,1000
50,1000
51,1000
52,1000
53,1000
54,791
55,1000
56,1000
57,1000
58,1000
59,179
60,821
61,482
62,1000
63,1000
64,585
65,1000
66,775
67,77
68,1000
69,1000
70,294
71,1000
72,488
73,1000
74,214
75,477
76,1000
77,1000
78,1000
79,1000
80,139
81,662
82,1000
83,1000
84,1000
85,1000
86,1000
87,1000
88,1000
89,1000
90,224
91,1000
92,359
93,1000
94,1000
95,1000
96,1000
97,149
98,1000
99,190
