id,scores
0,189
1,99
2,1000
3,140
4,1000
5,924
6,1000
7,1000
8,978
9,1000
10,1000
11,1000
12,1000
13,1000
14,210
15,252
16,1000
17,1000
18,888
19,1000
20,329
21,1000
22,554
23,1000
24,1000
25,978
26,1000
27,472
28,1000
29,1000
30,1000
31,931
32,1000
33,139
34,254
35,1000
36,1000
37,749
38,364
39,408
40,210
41,1000
42,1000
43,210
44,416
45,106
46,549
47,662
48,552
49,549
50,1000
51,64
52,1000
53,65
54,1000
55,1000
56,178
57,1000
58,1000
59,708
60,1000
61,1000
62,1000
63,1000
64,662
65,1000
66,255
67,1000
68,97
69,480
70,628
71,585
72,1000
73,142
74,1000
75,639
76,1000
77,1000
78,1000
79,1000
80,1000
81,1000
82,1000
83,702
84,895
85,178
86,1000
87,174
88,219
89,1000
90,1000
91,97
92,1000
93,779
94,1000
95,1000
96,113
97,565
98,299
99,334
